ISO Survey Results (Part 1: Staff Respondents),,,,,,,
Functional Suitability,5,4,3,2,1,Mean
1. The system automatically records all rental information correctly.,,,,,, 
2. Price and duration calculations are done automatically and correctly.,,,,,, 
3. Real-time boat availability updates help me serve customers faster.,,,,,, 
Usability,5,4,3,2,1,Mean
4. Processing rentals (add edit end) is faster than doing it manually.,,,,,, 
5. The system is easy to understand and use for daily rental work.,,,,,, 
6. Customers wait less time because the system is quick and easy to use.,,,,,, 
Reliability,5,4,3,2,1,Mean
7. The system prevents me from making common mistakes (like double-rentals).,,,,,, 
Security,5,4,3,2,1,Mean
8. I can only access staff features not admin functions.,,,,,, 
9. My login works properly and takes me to the right dashboard.,,,,,, 
Overall Satisfaction,5,4,3,2,1,Mean
10. Overall I am satisfied with the Boat Rental Management System.,,,,,, 
11. I would recommend this system for use in boat rental operations.,,,,,,
